[01:21:38] ============================================================
[01:21:38] IMPACT SCANNER — Building impact tables
[01:21:38]   WT3:      D:\ygg\yggdrasil-engine\data\wt3.db (81.9 GB)
[01:21:38]   Spectral: spectral_births.json
[01:21:38]   Output:   D:\ygg\yggdrasil-engine\data\impact.db
[01:21:38] ============================================================
[01:21:38] Loading spectral positions from spectral_births.json...
[01:21:38]   Loaded 65,026 nodes (65,026 concepts, 1,316 glyphs)
[01:21:39] Total papers in WT3: 833,030 | Already done: 0 | Remaining: 833,030 | Cursor at rowid 0
[01:21:40]   Batch 0: 5,000/833,030 (0.6%) | 6803 papers/s | ETA 2.0min
[01:21:40]   Batch 1: 10,000/833,030 (1.2%) | 6231 papers/s | ETA 2.2min
[01:21:41]   Batch 2: 15,000/833,030 (1.8%) | 5613 papers/s | ETA 2.4min
[01:21:42]   Batch 3: 20,000/833,030 (2.4%) | 5456 papers/s | ETA 2.5min
[01:21:43]   Batch 4: 25,000/833,030 (3.0%) | 5597 papers/s | ETA 2.4min
[01:21:44]   Batch 5: 30,000/833,030 (3.6%) | 5690 papers/s | ETA 2.4min
[01:21:45]   Batch 6: 35,000/833,030 (4.2%) | 5742 papers/s | ETA 2.3min
[01:21:46]   Batch 7: 40,000/833,030 (4.8%) | 5874 papers/s | ETA 2.3min
[01:21:47]   Batch 8: 45,000/833,030 (5.4%) | 5718 papers/s | ETA 2.3min
[01:21:47]   Batch 9: 50,000/833,030 (6.0%) | 5783 papers/s | ETA 2.3min
[01:21:48]   Batch 10: 55,000/833,030 (6.6%) | 6002 papers/s | ETA 2.2min
[01:21:49]   Batch 11: 60,000/833,030 (7.2%) | 6016 papers/s | ETA 2.1min
[01:21:49]   Batch 12: 65,000/833,030 (7.8%) | 6248 papers/s | ETA 2.0min
[01:21:50]   Batch 13: 70,000/833,030 (8.4%) | 6453 papers/s | ETA 2.0min
[01:21:51]   Batch 14: 75,000/833,030 (9.0%) | 6411 papers/s | ETA 2.0min
[01:21:52]   Batch 15: 80,000/833,030 (9.6%) | 6245 papers/s | ETA 2.0min
[01:21:52]   Batch 16: 85,000/833,030 (10.2%) | 6264 papers/s | ETA 2.0min
[01:21:53]   Batch 17: 90,000/833,030 (10.8%) | 6419 papers/s | ETA 1.9min
[01:21:53]   Batch 18: 95,000/833,030 (11.4%) | 6560 papers/s | ETA 1.9min
[01:21:54]   Batch 19: 100,000/833,030 (12.0%) | 6565 papers/s | ETA 1.9min
[01:21:55]   Batch 20: 105,000/833,030 (12.6%) | 6600 papers/s | ETA 1.8min
[01:21:55]   Batch 21: 110,000/833,030 (13.2%) | 6662 papers/s | ETA 1.8min
[01:21:56]   Batch 22: 115,000/833,030 (13.8%) | 6783 papers/s | ETA 1.8min
[01:21:57]   Batch 23: 120,000/833,030 (14.4%) | 6754 papers/s | ETA 1.8min
[01:21:57]   Batch 24: 125,000/833,030 (15.0%) | 6795 papers/s | ETA 1.7min
[01:21:58]   Batch 25: 130,000/833,030 (15.6%) | 6874 papers/s | ETA 1.7min
[01:21:58]   Batch 26: 135,000/833,030 (16.2%) | 6904 papers/s | ETA 1.7min
[01:21:59]   Batch 27: 140,000/833,030 (16.8%) | 6879 papers/s | ETA 1.7min
[01:22:00]   Batch 28: 145,000/833,030 (17.4%) | 6893 papers/s | ETA 1.7min
[01:22:00]   Batch 29: 150,000/833,030 (18.0%) | 6987 papers/s | ETA 1.6min
[01:22:01]   Batch 30: 155,000/833,030 (18.6%) | 7044 papers/s | ETA 1.6min
[01:22:02]   Batch 31: 160,000/833,030 (19.2%) | 7011 papers/s | ETA 1.6min
[01:22:02]   Batch 32: 165,000/833,030 (19.8%) | 6987 papers/s | ETA 1.6min
[01:22:03]   Batch 33: 170,000/833,030 (20.4%) | 7009 papers/s | ETA 1.6min
[01:22:04]   Batch 34: 175,000/833,030 (21.0%) | 7023 papers/s | ETA 1.6min
[01:22:05]   Batch 35: 180,000/833,030 (21.6%) | 6996 papers/s | ETA 1.6min
[01:22:05]   Batch 36: 185,000/833,030 (22.2%) | 7020 papers/s | ETA 1.5min
[01:22:06]   Batch 37: 190,000/833,030 (22.8%) | 7083 papers/s | ETA 1.5min
[01:22:06]   Batch 38: 195,000/833,030 (23.4%) | 7108 papers/s | ETA 1.5min
[01:22:07]   Batch 39: 200,000/833,030 (24.0%) | 7058 papers/s | ETA 1.5min
[01:22:08]   Batch 40: 205,000/833,030 (24.6%) | 7075 papers/s | ETA 1.5min
[01:22:08]   Batch 41: 210,000/833,030 (25.2%) | 7105 papers/s | ETA 1.5min
[01:22:09]   Batch 42: 215,000/833,030 (25.8%) | 7133 papers/s | ETA 1.4min
[01:22:10]   Batch 43: 220,000/833,030 (26.4%) | 7012 papers/s | ETA 1.5min
[01:22:11]   Batch 44: 225,000/833,030 (27.0%) | 7002 papers/s | ETA 1.4min
[01:22:12]   Batch 45: 230,000/833,030 (27.6%) | 7026 papers/s | ETA 1.4min
[01:22:12]   Batch 46: 235,000/833,030 (28.2%) | 7119 papers/s | ETA 1.4min
[01:22:12]   Batch 47: 240,000/833,030 (28.8%) | 7175 papers/s | ETA 1.4min
[01:22:13]   Batch 48: 245,000/833,030 (29.4%) | 7256 papers/s | ETA 1.4min
[01:22:13]   Batch 49: 250,000/833,030 (30.0%) | 7343 papers/s | ETA 1.3min
[01:22:13]   Batch 50: 255,000/833,030 (30.6%) | 7422 papers/s | ETA 1.3min
[01:22:14]   Batch 51: 260,000/833,030 (31.2%) | 7471 papers/s | ETA 1.3min
[01:22:14]   Batch 52: 265,000/833,030 (31.8%) | 7557 papers/s | ETA 1.3min
[01:22:14]   Batch 53: 270,000/833,030 (32.4%) | 7643 papers/s | ETA 1.2min
[01:22:14]   Batch 54: 275,000/833,030 (33.0%) | 7721 papers/s | ETA 1.2min
[01:22:15]   Batch 55: 280,000/833,030 (33.6%) | 7795 papers/s | ETA 1.2min
[01:22:15]   Batch 56: 285,000/833,030 (34.2%) | 7833 papers/s | ETA 1.2min
[01:22:19]   Batch 57: 290,000/833,030 (34.8%) | 7183 papers/s | ETA 1.3min
[01:22:25]   Batch 58: 295,000/833,030 (35.4%) | 6325 papers/s | ETA 1.4min
[01:22:32]   Batch 59: 300,000/833,030 (36.0%) | 5677 papers/s | ETA 1.6min
