
============================================================
  CHUNK 1/309
  224 fichiers, 2.05 GB
============================================================
  [1/224] updated_date=2016-06-24\part_0000.gz: 486 papers, 1 arXiv (1109 p/s)
  [2/224] updated_date=2016-07-22\part_0000.gz: 124 papers, 0 arXiv (5613 p/s)
  [3/224] updated_date=2016-08-23\part_0000.gz: 132 papers, 0 arXiv (5638 p/s)
  [4/224] updated_date=2016-09-16\part_0000.gz: 51 papers, 0 arXiv (3724 p/s)
  [5/224] updated_date=2016-09-23\part_0000.gz: 26 papers, 0 arXiv (2489 p/s)
  [6/224] updated_date=2016-09-30\part_0000.gz: 40 papers, 0 arXiv (3276 p/s)
  [7/224] updated_date=2016-10-07\part_0000.gz: 41 papers, 0 arXiv (3354 p/s)
  [8/224] updated_date=2016-10-14\part_0000.gz: 3 papers, 0 arXiv (365 p/s)
  [9/224] updated_date=2016-10-21\part_0000.gz: 2 papers, 0 arXiv (266 p/s)
  [10/224] updated_date=2016-10-28\part_0000.gz: 10 papers, 0 arXiv (1290 p/s)
  [11/224] updated_date=2016-11-04\part_0000.gz: 1 papers, 0 arXiv (140 p/s)
  [12/224] updated_date=2016-11-11\part_0000.gz: 1 papers, 0 arXiv (147 p/s)
  [13/224] updated_date=2016-11-30\part_0000.gz: 6 papers, 0 arXiv (708 p/s)
  [14/224] updated_date=2016-12-08\part_0000.gz: 5 papers, 0 arXiv (666 p/s)
  [15/224] updated_date=2016-12-16\part_0000.gz: 2 papers, 0 arXiv (315 p/s)
  [16/224] updated_date=2017-01-06\part_0000.gz: 9 papers, 0 arXiv (1121 p/s)
  [17/224] updated_date=2017-01-13\part_0000.gz: 2 papers, 0 arXiv (246 p/s)
  [18/224] updated_date=2017-01-26\part_0000.gz: 2 papers, 0 arXiv (256 p/s)
  [19/224] updated_date=2017-02-03\part_0000.gz: 4 papers, 0 arXiv (434 p/s)
  [20/224] updated_date=2017-02-10\part_0000.gz: 2 papers, 0 arXiv (259 p/s)
  [21/224] updated_date=2017-02-17\part_0000.gz: 5 papers, 0 arXiv (517 p/s)
  [22/224] updated_date=2017-02-24\part_0000.gz: 3 papers, 0 arXiv (371 p/s)
  [23/224] updated_date=2017-03-03\part_0000.gz: 5 papers, 0 arXiv (268 p/s)
  [24/224] updated_date=2017-03-16\part_0000.gz: 8 papers, 0 arXiv (1020 p/s)
  [25/224] updated_date=2017-03-23\part_0000.gz: 8 papers, 0 arXiv (960 p/s)
  [26/224] updated_date=2017-04-07\part_0000.gz: 23 papers, 0 arXiv (2097 p/s)
  [27/224] updated_date=2017-04-14\part_0000.gz: 7 papers, 0 arXiv (870 p/s)
  [28/224] updated_date=2017-04-28\part_0000.gz: 3 papers, 0 arXiv (421 p/s)
  [29/224] updated_date=2017-05-05\part_0000.gz: 7 papers, 0 arXiv (891 p/s)
  [30/224] updated_date=2017-05-12\part_0000.gz: 8 papers, 0 arXiv (974 p/s)
  [31/224] updated_date=2017-05-19\part_0000.gz: 12 papers, 0 arXiv (1403 p/s)
  [32/224] updated_date=2017-05-26\part_0000.gz: 12 papers, 0 arXiv (1207 p/s)
  [33/224] updated_date=2017-06-05\part_0000.gz: 9 papers, 0 arXiv (1014 p/s)
  [34/224] updated_date=2017-06-15\part_0000.gz: 9 papers, 0 arXiv (908 p/s)
  [35/224] updated_date=2017-06-23\part_0000.gz: 12 papers, 0 arXiv (1274 p/s)
  [36/224] updated_date=2017-06-30\part_0000.gz: 19 papers, 0 arXiv (1971 p/s)
  [37/224] updated_date=2017-07-14\part_0000.gz: 17 papers, 0 arXiv (1723 p/s)
  [38/224] updated_date=2017-07-21\part_0000.gz: 6 papers, 0 arXiv (712 p/s)
  [39/224] updated_date=2017-07-31\part_0000.gz: 20 papers, 0 arXiv (1884 p/s)
  [40/224] updated_date=2017-08-08\part_0000.gz: 21 papers, 0 arXiv (1927 p/s)
